queueId,priority,scenarioGroup,scenarioId,scenarioName,seedId,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,rerunScope,requiresModelModeSupport,analysisRole,plannedUse,replacementForHistory
V3-E0-2-seed18,1,E0,E0-2,T=15 双轨辟谣干预,18,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed19,1,E0,E0-2,T=15 双轨辟谣干预,19,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed20,1,E0,E0-2,T=15 双轨辟谣干预,20,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed21,1,E0,E0-2,T=15 双轨辟谣干预,21,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed22,1,E0,E0-2,T=15 双轨辟谣干预,22,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed23,1,E0,E0-2,T=15 双轨辟谣干预,23,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed24,1,E0,E0-2,T=15 双轨辟谣干预,24,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed25,1,E0,E0-2,T=15 双轨辟谣干预,25,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed26,1,E0,E0-2,T=15 双轨辟谣干预,26,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed27,1,E0,E0-2,T=15 双轨辟谣干预,27,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed28,1,E0,E0-2,T=15 双轨辟谣干预,28,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed29,1,E0,E0-2,T=15 双轨辟谣干预,29,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed30,1,E0,E0-2,T=15 双轨辟谣干预,30,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-3-seed01,1,E0/E4,E0-3,T=30 双轨辟谣干预,1,30,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,中期干预; E4 双轨组合效果可复用,后续 E4-3 不重复跑，直接引用本场景。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-3-seed02,1,E0/E4,E0-3,T=30 双轨辟谣干预,2,30,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,中期干预; E4 双轨组合效果可复用,后续 E4-3 不重复跑，直接引用本场景。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-3-seed03,1,E0/E4,E0-3,T=30 双轨辟谣干预,3,30,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,中期干预; E4 双轨组合效果可复用,后续 E4-3 不重复跑，直接引用本场景。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
