priority,scenarioGroup,enableOnlineIntervention,enableOfflineIntervention,initialOnlineSeeds,initialOfflineSeeds,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,requiresModelModeSupport,analysisRole,queueId,scenarioId,scenarioName,seedId,sensitivityDesign,sensitivitySampleId,sensitivitySeedReplicate,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,pRewire,kOnline,kOffline,interventionStartTime
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M009-seed13,MORRIS_M009,MORRIS 参数样本 M009,13,MORRIS,M009,13,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M009-seed19,MORRIS_M009,MORRIS 参数样本 M009,19,MORRIS,M009,19,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M009-seed25,MORRIS_M009,MORRIS 参数样本 M009,25,MORRIS,M009,25,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M010-seed01,MORRIS_M010,MORRIS 参数样本 M010,1,MORRIS,M010,1,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,8,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M010-seed07,MORRIS_M010,MORRIS 参数样本 M010,7,MORRIS,M010,7,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,8,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M010-seed13,MORRIS_M010,MORRIS 参数样本 M010,13,MORRIS,M010,13,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,8,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M010-seed19,MORRIS_M010,MORRIS 参数样本 M010,19,MORRIS,M010,19,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,8,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M010-seed25,MORRIS_M010,MORRIS 参数样本 M010,25,MORRIS,M010,25,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,8,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M011-seed01,MORRIS_M011,MORRIS 参数样本 M011,1,MORRIS,M011,1,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.242,9,8,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M011-seed07,MORRIS_M011,MORRIS 参数样本 M011,7,MORRIS,M011,7,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.242,9,8,50
