t,S,E,I1,I2,R,G1,G2,I_total,G_total,h
73.9,0.4233157286765933,0.04190405330342919,0.0442592767942521,0.013419324771454952,0.29560632743146714,0.10207679198470329,0.07941849703810006,0.057678601565707054,0.18149528902280335,1.0
73.95,0.4231633973449509,0.04183959585245986,0.04420239391869205,0.013401130694734234,0.2957614776124521,0.10215681713909351,0.07947518743761736,0.057603524613426285,0.18163200457671086,1.0
74.0,0.4230117709606924,0.041775196618372964,0.044145504281607566,0.01338293893445648,0.29591616146056754,0.10223667607874852,0.07953175166555448,0.05752844321606405,0.18176842774430302,1.0
74.05,0.42286084832304055,0.041710855898894734,0.04408860837338543,0.013364749634923498,0.29607037915946544,0.10231636883662892,0.07958818977366157,0.057453358008308926,0.18190455861029048,1.0
74.10000000000001,0.42271062823067784,0.041646573989431286,0.04403170668255456,0.01334656293980339,0.2962241308960826,0.1023958954469114,0.07964450181453901,0.05737826962235795,0.1820403972614504,1.0
74.15,0.4225611094817656,0.04158235118307555,0.0439747996957842,0.013328378992130414,0.29637741686062696,0.10247525594498368,0.07970068784163346,0.05730317868791462,0.18217594378661714,1.0
74.2,0.4224122908739626,0.04151818777061424,0.043917887897882125,0.013310197934304867,0.29653023724656286,0.10255445036743967,0.07975674790923377,0.05722808583218699,0.18231119827667344,1.0
74.25,0.42226417120444226,0.04145408404053471,0.04386097177179282,0.013292019908092954,0.2966825922505964,0.10263347875207414,0.07981268207246683,0.05715299167988577,0.18244616082454096,1.0
74.3,0.4221167492699122,0.04139004027903207,0.04380405179859594,0.01327384505462674,0.2968344820726615,0.102712341137878,0.07986849038729366,0.05707789685322268,0.18258083152517166,1.0
74.35000000000001,0.4219700238666317,0.04132605677001615,0.04374712845750465,0.013255673514404077,0.2969859069159052,0.10279103756503312,0.07992417291050523,0.057002801971908726,0.18271521047553835,1.0
74.4,0.42182399379042973,0.04126213379511853,0.04369020222586409,0.01323750542728857,0.2971368669866733,0.10286956807490737,0.0799797296997185,0.05692770765315266,0.18284929777462589,1.0
74.45,0.42167865783672315,0.04119827163369966,0.04363327357914995,0.013219340932509548,0.2972873624944959,0.10294793271004955,0.08003516081337232,0.0568526145116595,0.18298309352342187,1.0
