runId,enableOfflineIntervention,enableOnlineIntervention,forgetTime,govForgetTime,initialOfflineSeeds,initialOnlineSeeds,interventionStartTime,kOffline,kOnline,latentTime,modelMode,offlineGovEffect,offlineRate,onlineGovEffect,onlineRate,pRewire,parameterFile,seedId
M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363066646,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363066646.csv,26
M0_T15_onfalse_offtrue_seed27_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363089258,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed27_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363089258.csv,27
M0_T15_onfalse_offtrue_seed27_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363100370,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed27_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363100370.csv,27
M0_T15_onfalse_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363123325,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363123325.csv,28
M0_T15_onfalse_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363134652,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed28_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363134652.csv,28
M0_T15_onfalse_offtrue_seed29_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363157335,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed29_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363157335.csv,29
M0_T15_onfalse_offtrue_seed29_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363169147,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed29_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363169147.csv,29
M0_T15_onfalse_offtrue_seed2_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362340414,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed2_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362340414.csv,2
M0_T15_onfalse_offtrue_seed2_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362351001,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed2_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362351001.csv,2
M0_T15_onfalse_offtrue_seed30_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363190465,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed30_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363190465.csv,30
